Rating,Review
9,"In the latest installment of the John Wick saga, Keanu Reeves once again proves that age is just a number and bullets are his preferred mode of communication. This time, our favorite dog-loving assassin takes on the High Table and their seemingly endless supply of relentless hitmen, making you wonder if there's a secret underground academy where they teach assassins to never, ever give up. As if killing the Elder wasn't impressive enough, John Wick goes globe-trotting from New York to Morocco, giving us action scenes that defy both physics and logic - and we're totally here for it.

The film doesn't hold back on surprises either. Just when you think the Continental's no-gun policy would dampen the action, the cast of characters makes up for it. From a blind assassin who's still a deadshot to a concierge who's cooler under pressure than your average ice cube, the supporting roles add both humor and heart to the relentless carnage. And let's not forget Mr. Nobody negotiating a higher bounty mid-battle - who knew killing John Wick was a gig with performance bonuses?

With dueling pistols, a $40 million bounty, and more stylish suits than a Bond film, ""John Wick 4"" is an adrenaline-fueled roller coaster that never stops surprising. The post-credits scene sets the stage for what we can only hope will be more vengeance-fueled adventures. So grab your popcorn, root for your favorite assassin, and remember: you mess with John Wick, you end up counting bullets... the hard way."
6,"Let me start this off saying that I am a huge fan of this franchise. The first two movies are some of my favorite of all time. The third disappointed me story wise, but the action was incredible. This movie for me was the worst of the 4.

This movie is long yes, but that's not my main problem with the film. Obviously you need to suspend disbelief in these movies but the blind character was a step too far. I do not understand how this guy is shooting people, dodging bullets and not getting shot himself. The movie is also poorly acted, the worst in the franchise in my opinion.

I did not love the story either, the plot line with poker and the man who killed his uncle was insanely weird and poorly done. This world that we have experienced in the last movies has changed so dramatically. Overall heavily disappointed but there was some great action scenes. Also SPOILER:::

John wicks death was well done. A little abrupt but it was time."
9,"Spoiler Alert.... John Wick dies. But what a great send off it was. I didn't expect John Wick's life to end, and di not expect this movie to be his swan song. Although I figured it would come down to this. He died a free man. That's what he deserved. I can also appreciate that this was the film we were never supposed to have. I still believe John Wick was meant to be a trilogy, but the success and the fans demanded a 4th, making this a ""Quadrilogy."" What amazes me about all movies is how consistent they were with each other in terms of pacing, action, worldbuilding, story, and over all quality. No one fight feels the same. We end up in so many places all over the world. John Wick always feels new and exciting from start to finish and that is a very hard thing to do. But they did it, and did it right."
6,"Now this is an whole lot better than ""John Wick - Paracetamol"" (2019) but it is still not very good. This time our wandering warrior (Keanu Reeves) is out for revenge, but not before the all-powerful ""Marquis"" (Bill Skarsgård), who has managed to get those at the ""High Table"" to give him complete control of their global operations, decides to seek some of his own - and that includes trashing the New York hotel and putting ""Winston"" (Ian McShane) out of an home and a job. A rather unnecessary, and fatal, side effect of that activity put's his nose out of joint too; and when the ""Marquis"" turns his attention on Osaka - possibly the last bastion of support for ""Wick"", we just know that we are in for a series of never-ending hand-to-hand fisticuffs that are straight out of a video game. Indeed, for almost all of the action sequences here the whole point seems to be: kill as many of the useless, hapless - but heavily armed - enemy as you can whilst perhaps bleeding a little from the mouth now and again. Use your finely tailored Kevlar suit to deflect bullets, blades, flames - just about everything as you, inevitably, survive against constantly insurmountable odds for well over 2½ hours before a denouement that is, admittedly, quite quirky. That involves a sort of Sacre-Coeur version of snakes and ladders but again, luckily, against innumerable would-be assassins who couldn't hit a barn door with an Howitzer at point blank range. Skarsgård isn't remotely menacing - like a poor ""James Bond"" villain in a perfectly measured suit, Laurence Fishburne features only sparingly and the whole thing has as much jeopardy as the 'Wizard of Oz"" (1939). Reeves does not act here, he performs - and the profusion of CGI, the complete lack of any police or domestic military in Japan, Paris or New York to address the increasingly chaotic and damaging carnage being caused in these locations all just wanted me to start shouting ""thwack"" and ""pow"" at the screen. There is a delightful twist at the end, but it's a very long time in the coming and to be perfectly honest, I was just a bit bored. I've never really been in love with this franchise, it's all too repetitive and predictable - and sadly, this is just the same."
9,"In 2014, Chad Stahelski & Keanu Reeves brought John Wick to theaters and turned the Action Genre on its head. An emotionally poignant tale with stylized action like never before, inside a riveting world of assassins. In the sequels the action got amped and the world became more fascinating. And in this penultimate chapter of the franchise, the level of Action has reached a level that can only be described as ""Insanity"". Too many times I was grabbing my head in sheer disbelief as to how they came up with the unbelievable stuff that was happening. The set pieces can easily be included in the Greatest Action Scenes of all time. The Cinematography, background score, dialogues hit perfectly. Donnie Yen, Hiroyuki Sanada, Bill Skarsgard are perfect in their roles. And to top it off, a beautiful ending that completes this legendary franchise.

Dont Miss This one.."
7,"The fourth in the franchise that shows no signs of flagging thus far; a spin-off, BALLERINA, has previously been announced. Part 4 is the biggest yet, with a massively bloated running time of nearly three hours that takes Reeves' Wick on an international adventure as he battles fellow assassins and faces off against a sinister new foe. My thoughts are that this series peaked with parts two and three, leaving part four the worst one yet, although not without merit. The cinematography is luxurious and vibrant, the fight scenes lengthy and expertly choreographed; it's great to have other screen legends like Donnie Yen, Hiroyuki Sanada and Scott Adkins showing their mettle. Where this fails is the script - the dialogue is invariably trite - and the plotting, which stretches a thin premise to breaking point."
4,"Ok, so I got back from seeing this entry yesterday night. I'm writing this review in the early hours after midnight as the film went on for a good whopping 2 hours & 39 minutes!! But we'll get to that in a bit...! Anyway, I was looking forward to this film since John Wick 3's release back in 2019 & this film has had a bit of a troubled history of getting pushed back until it finally got its March 2023 release. I must admit I was a bit skeptical, but, was looking forward to this as the John Wick films are ace, but this film was a bitter disappointment...!

The film sees John Wick, who from the events of the last film, has a price on his head which is increasing more than ever. The lethal unstoppable force of nature assassin now must fight against the High Table Global as he seeks out & fights the most deadly assassins players of the underworld from Paris to New York to Berlin to Japan. Will John Wick finally meet his match!?

Whoa...! Where do I start!? I found the film for starters to be too long!! At a whopping 2 hours & 39 minutes this film is way, way, way too long! The pacing... whoa! Don't get me started! I was willing to be tolerant & forgive the pacing, but when it got to the final leg it took the absolute puss & started to test my nerves! The story is so weak I had to look this film up in order to get what the plot was, again, another sign that the film was going to be bad, the first was the runtime, which I knew was going to be bad from the word go!

The film took a while to get going which was a pain, but it got there I guess! The fights were good, as with the John Wick films typically are, not to mention funny & brutal! But all things considered, it got repetitive fast & annoying especially near the end as I just mentioned! The story scenes were alright as with the villains & bad guys though again, it got repetitive & irritating.

The realism was stretch beyond its limits here in this film. John Wick fell from a great height on a metal pipe which looked to have (& lets be honest here) would've snapped his back like a tooth pick! John got hit by a car 5 times yet never suffers any bad injuries or dies! Yet a few bullet wounds finally kill him at the end (another downer of this film which I'll touch up on in a second!), the fight scenes in the night club where only a few people stood there shocked while about 95% just kept on dancing! Face palm! There were several other scenes which made you just think ""dafuq!?""

The lead up to the end was annoying! Just when you thought John Wick was going to go to the Stand Off with the blind villain, there was more fight scenes! Don't get me wrong, these fights where good, but annoying & held the film up for a good 20 minutes before the finale which to say the least, was anti climatic! The scene on the 122 steps was irritating & made you just scoffs in frustration when John got kicked down those steps which for a couple of seconds in its self, dragged & felt & looked comical! It's like getting so far in a mission in Grand Theft Auto V then dying & reverting back to the latest checkpoint where you have to start all, over, again!! The same feelings of that (from experience) where felt for me in this film from that scene!

Then of course, after John Wick killing 180 odd people (or more, I lost count obviously) he finally dies! What!? Like James Bond in that god awful Bond Film of 2021 No Time To Die!? Can't be!? What a poor show! Anyhow, to give you guys some perspective on how long this is in comparison to the rest of the films in the franchise! Without credits as they don't count!

John Wick (2015) - 1 hour 30 minutes John Wick 2 (2017) - 1 hour 50 minutes John Wick 3 (2019) - 1 hours 57 minutes John Wick 4 (2023) - 2 hours 39 minutes

Notice how the films got long & long with each entry...!

Overall, this ranks as they absolute worst of the franchise! I was willing to forgive the poor pacing & overly bloated runtime, but it got on my nerves too much to bare & when I saw that John Wick died!? Nope, that was it for me! The editing was poor with this film whoever edited this needs class in editing as this was bad beyond belief! The pacing also was poor combined with the bad editing! The fights were good, but too drawn out, long & annoyingly repetitive! The ending was both bad & anti climatic! How this film has 95% on RT is beyond me! But then what do I expect...! This ranks as the worst John Wick film in the franchise! With word of a female spin-off coming out (which will be bad), I've lost hope in this franchise! Let's hope John Wick 5 (if ever) redeems this kak entry!

4/10 & that's generous considering!"
8,"9/10 Storytelling 8/10 Action 8/10 Overall

Excellent storytelling throughout by outstanding actors. Every scene is deliberately drawn out with thoughtful dialogue to reveal the nature of each character and their intentions with John Wick.

The action scenes are a combination of all of the previous installments with enemies new and old alike. A little variance in the killing is also present with a mixture of guns, melee weapons and environments.

Between all of the killing are the small moments that characters share with each other in dialogue, expressions and even just the musical track in the background. This really builds the character personalities for the small amount of screen time that some of them get making them truly memorable.

Not really necessary to see on the big screen unless you're really into killing sprees."
9,"It a movie who has elements of other movies in their best form. Music like from the matrix,fight scenes from old karate movies,from western movies,some of James bond some from other spy movies What about john wick?

Reminds Clint Eastwood in the trilogy from the laconic speechless,Lee van Cleef from the costum and tuco the colts scene,Rick grimes from walking dead as the the beard and the hair and most of all he looks like Christian bale in appearance and as a badass in the movie hostiles.

Great movies,for me especially chapter three an four,great music and fight, extremely good fight,by now officially I think Keanu reeves is the guy who has the highest rate in fighting and shooting in any movie.

Also it has elements of the movie blade runner,the city atmosphere like it exists in a fantasy era.

I give it nine to ten."
8,"The screenplay probably could be excellent and the film has one thing I've ever seen on others action films.

SCREENPLAY (Although, it is not bad, would be a good screeplay):

1.1. Bad Thing Of Film: It has bit hole on screenplay, due to John Wick immortality. John Wick always got hurt and on this film it happens almost nothing to his body, it is something that doesn't happened on previous films because He always got hurt.

1.2. John's Japanese New Friend: On previous films doesn't explain who the fück is Shimazu interpreted by Hiroyuki Zanada and/or how started frienship between John and Shimazu. Furthemore, how Caine and Shimazu have met.

FILM EDITING (Although, It is a bit good film editing, could be excellent):

1.1: John Wick Death: John got hurt, tells Winston he want to go home and ""his perspective"" to meet again with his wife on other world and periot doesn't happened anymore. Unless could be a death with dignity, what a mediocre death of John Wick.

1.2: A Great Film Editing Shot: I've almost got shocked while John tries arrives to Church, hold a big gun and camera moving on a senital shot from above all abandoned hotel while music immersing you on action scene. It is something new for me on Action Genre."
8,"One thing I can appreciate with a franchise like John Wick is how it knew when and how to end. Some franchises seem to think that they have something significant to add even if the ninth entry in their long-running universe was the same plot as the previous eight. And while I had lost some of my faith in the John Wick franchise as it became more ridiculous with each iteration, perhaps my low standards made this last entry in the franchise that much better. John Wick: Chapter 4 (2023) was a fitting and classy end to a set of movies that re-defined the action genre.

I loved the simplicity and steady, fast-paced choreography of John Wick (2014), but the world-building in John Wick: Chapter 2 (2017) and John Wick: Chapter 3 - Parabellum (2019) started adding too many things that complicated the base elements of what made the first movie work. John Wick: Chapter 4 successfully wrapped up a lot of these loose ends created in expanding the franchise's universe in a way that was super classy and satisfying. Sure, this movie was perhaps a little long and could have deleted a location or two, but it was entertaining, to say the least.

Of course, there is still quite a bit of suspension of disbelief in this movie. Fighting in a club where the members don't react to the violence around them. Oblivious French drivers who don't care that there's active gunfire near a famous monument. A staircase that seems endless but also is just long enough to give the protagonist time to get where they need to go. I'm able to overlook a lot of these things because of the fantastic choreography and cinematography (like the top-down perspective). It's a little sad we won't see more of this kind of movie instead of the previous two, but it's worth it for a conclusive ending.

A much-improved franchise-ending entry for John Wick, I give John Wick: Chapter 4 4.0 stars out of 5."
7,"John Wick (Keanu Reeves) is killing people all around the world. He is taking on The High Table. The Marquis Vincent de Gramont (Bill Skarsgård) destroys the New York Continental for their failure to kill Wick. Caine (Donnie Yen) is a blind assassin. Wick uses an old High Table tradition, but he has to battle through an endless supply of assassins.

I'm sure that everyone is saying that the Arc de Triomphe is the best action, but I like the stairs better. With CGI, one is always questioning what is real and what is fake, today. For sure, I see a lot of the Arc action can be real, but one is never sure. The main faking on the stairs is using stuntmen. I don't mind that as long as Keanu does most of it. Also, I like the long takes on the stairs. In fact, I would like the takes to be even longer. That's the best. It's fun to take this franchise to outside and in exotic locations. The action is non-stop. Quite frankly, sometimes it can overload me, but I can't complain. This is the rule of sequels, bigger and more."
9,"It was a good movie and I think it had the best ending, he went to his wife. And kiano rouz is the best actor who ever i know that , he is acting very very nice i think and it must be the last john wick beacuse john died and he went to his wife. And the ending scene is the best scene in this movie beacuse he Surprised the negative character. And when john kill the bad guys i really shocked. The murder scenes were very attractive and funny and had interesting effects, for example, the scene where John killed a fat man with a playing card. When John went up the stairs and killed every single person with a gun and that Chinese man was also a very good actor."
6,I thought he was going after the entire table? What's up with this one guy? Not what I signed up for. I was expecting all the members of the table to be hiding scared. Did Charad know he was dying in real life to have him canceled in the movie like that? The Paris chicks doing the uploading of me $40M aren't as hot as the American chicks. Winston looks old. Wick looks slow. Franchise looks broken. I'm feeling down on it now. I was so excited looking forward to this movie. Now I don't see a future for it. Sad. It had so much promise. Halle Berry could have been brought back. They had her dog. Or so it seemed.
8,"John Wick Chapter 4 carries on the story from where it left off in chapter 3, John is still on the run but now he needs to try get the High Table off his back. How he does that or attempts to anyway forms the crux of Chapter 4's storyline.

The solid story combined with outstanding acting from Keanu Reeves, Donnie Yen, Hiroyuki Sanada, Bill Skarsgård, Ian McShane and Lance Riddick leaves you with a gripping story that will have you absorbed in it throughout it's 169 minute runtime.

Combined with excellent action sequences, gunplay, crazy shootouts and fight scenes John Wick Ch 4 is a top notch action film that stands with it's head held high from the mess that Hollywood is nowadays. Especially love the scene where John is clearing the building room by room and the camera is viewing it top down like one of those mobile shooter games.

I loved the movie, It's fun and enjoyable and it definitely deserves the 8 stars I've rated it. The place where the movie looses 2 stars is because John dies at the end and I can't bear to see him not have a happy ending after 4 movies of revenge and death and hatred and anger. So 8/10 from me because of that."
6,"I went into the sequel without any expectations but was mostly pleasantly surprised. The main reason for that is thanks to Donnie Yen's character, who displays more depth and charisma than all of John's story in all movies combined. I hate to say it, since I like Keanu Reeves. But on every sequel of his respectable films he sleepwalks through his movies - very obvious in Bill & Ted 3, where he played the confused John Wick.

Like I said, John's storyline is the weakest overall, it felt repetitive, but I have to admit, I liked how they handled the closure. What drags this move's rating down is the unjustified running time. A lot of the action scenes feel unnecessary bloated, why exactly was John in Japan to endanger his last good friend? Why he offed that guy in the desert if it didn't change a thing? The Wick sequels have been particular lazy in expanding their world building or inciting incidents for action scenes. And all of the action scenes overstay their welcome. There's a whole character sub-plot with the character of Tracker which should have been left on the cutting room floor in my opinion. If that movie was edited tighter into a 90 minutes film it easily would have elevated the whole thing. As it is now, it's still the best sequel, since it is less forgettable than part two & three."
2,"This is laughably bad. My second hand embarrassment threw up its hands and died of shame.

I adore Keanu but my god he failed at even the most basic fight choreography; although the fault is shared equally with the script writers, the editing team, and the director who all decided we needed almost 3 hours of whatever this was.

If anyone believes that a half bent over John Wick could kill 100s of super trained assassins all by himself, then have I got a bridge to sell you in Laos.

Look, KR is like a 100 yrs old and should have long retired from doing any film that requires hand-to-hand combat.

Note to Keanu's agent: get this man into a zombie/apocalypse movie, ffs."
8,"Was really surprised that this film still holds my attention even though its already the fourth installment. Not sure if its Keanu or Donnie Yen but both was great especially in the action scenes ! The use of every weapon available is what made me think of those old HK action movie that I cannot even find anymore now. Overall, the storyline is engaging even if its the 4th one , the actions are fast & furious and a highlight for me & the actors carried out their roles very well.. Keanu is excellent as always, Donnie as well. I am also quite taken with Rina Sawayama as Akira. In my opinion : this is so much better than any of the Marvel series."
8,"My impressions: Alright, I agree that this is an action-packed, shoot-m-up picture extravaganza. The twists and turns kept me guessing who was friend or foe. I like these types of movies as entertainment, but one thing keeps coming to my mind: It never ceases to amaze me how so many people can be shooting at each other and miss so many shots. I mean, even at 5% accuracy, John Wick would have been hit, if not dead, at least 10 times in only the first 1/2 of the film.

However, if this is your cup of tea, the choreographed sequences were definitely well played out and executed by all involved. I was exhausted by the end...

I did enjoy it..."
9,"The fourth installment of the John Wick franchise delivers yet another adrenaline-fueled thrill ride, proving that the series hasn't lost its touch. Keanu Reeves reprises his iconic role as the legendary assassin, bringing his signature charisma and intensity to the screen once more.

John Wick 4 takes the action to new heights, with breathtaking set pieces and meticulously choreographed fight sequences that leave viewers on the edge of their seats. The film's high-stakes plot keeps the momentum going, ensuring that there's never a dull moment in this relentless, action-packed adventure.

The supporting cast brings a fresh dynamic to the franchise, with both new and familiar faces adding depth and intrigue to the story. The cinematography and production design are top-notch, further immersing the audience in the gritty, stylish world of John Wick.

While staying true to its roots, John Wick 4 successfully expands the series' lore, providing fans with more insight into the complex universe of assassins, crime syndicates, and hidden societies. This masterful blend of high-octane action, compelling storytelling, and world-building cements the film as a worthy addition to the beloved franchise.

In summary, John Wick 4 is a must-watch for action aficionados and fans of the series alike. With its relentless pace, stunning visuals, and captivating performances, this latest entry serves as a testament to the enduring appeal of the legendary assassin's tale."
9,"These movies have always outdone themselves, but here we are with an actual ""epic"". John Wick: Chapter 4 continuously punches above its weight with bigger and better ... well, everything. The lighting is better, the staging is more impressive, the fight choreography is absolutely insane. The excess here is the point, and it's never been more satisfying. The entire Osaka sequence feels like a marathon; then he's gun-battling in a speeding Barracuda; and there's even a setpiece built around stairs. The man even fights a guy in traffic.

TRAFFIC!

I freely admit that I'm that guy in the theater that squealed when the nunchucks came out (and they weren't a one-and-done either, he just kept beating people!)

This gave me the ""Top Gun: Maverick"" kind of high; an impeccably-paced three hours of sustained adrenaline. I don't think such enjoyment of bone-crunching violence is normal, but I don't care. This movie was an absolute blast!"
7,"While I still enjoy watching the fourth installment of John Wick, and it is very rare for me to enjoy the fourth movie of any franchise, I have to say that the John Wick formula has officially overstayed its welcome. Even with breathtaking cinematography and top-notch stunt actions, I'm getting bored of watching one man shooting 200 men in the face with little to no plot involved. Please, guys, let's not pretend to call this a plot. I've seen porn movies with better storyline. The final fight is also pretty ridiculous and the ""twist"" is so childish that it's laughable. I also watched this movie after hearing John Wick 5 is confirmed, so if anything, I felt bad that they will keep milking this cow. I am all for spin off movies within the universe, but they need to wrap this up and give John Wick the retirement he so deserves and needs."
8,"Given the sad state of Hollywood output these days, this is one of the better offerings. But it does require some suspension of disbelief. You have to believe that 58 year old 175 lb Reeves is a dangerous man. And that sorta works. You also have to believe that this franchise was strong enough to merit at least 3 sequels. Jury still out there. And, most important, you have to believe that the key to making a good film from an essentially weak and over-done premise is to extend it to 3 grueling hours, and throw lots of money at it. Donnie Yen steals every scene he is in, and makes you wonder if his semi-retirement from Asian films was really a good idea? And the writers have stolen tropes and tricks from a handful of prior productions including KUNG FU (wise sayings); MY NAME IS NOBODY; VANISHING POINT (radio overlay); THE BLIND SWORDSMAN; THE GAUNTLET; and of course the first 3 movies in the series. The one quote that best applies here was left out of the script -- ""in the realm of the blind, the one-eyed man is King"". ((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))"
6,"By making this film a 3 hour monster they removed most of the urgency that was felt in the earlier films. The action is stunning but the majority of it goes on for longer than it needs to and can occasionally get boring. Also, I know that he's supposed to be unstoppable but some of the scenes stretch those limits WAY too far (all I will say is ""stairs"").

I will say that when the camera goes to the over the top view it changed from good to outstanding, but this unfortunately was short lived and ended with another stretch of the limits previously mentioned.

Hoping to see more urgency and maybe a little more originality return in the inevitable John Wick: Chapter 5!"
9,"Still one of the best action films of the best action film franchise, but I can only give this one a 9/10 when the first three films all got 10/10's. The main reason is that for this one being the longest of them all, the plot had more holes and the random new characters lacked the background they needed.

Throwing in Mr. Nobody was just dumb, as was his story. It was just too random and lazy, especially with all that extra runtime. Having all the opportunities to collect the bounty was just too easy and took away from all other more deserving assassins to collect, and more importantly, his reasons for not cashing in were just too unbelievable and ridiculous. Instead of introducing him as a new character, they should've capitalized more on Fishburne's character and involved him more in this film, instead of him being a delivery boy - that was just a huge let-down.

And as much as I love all the action scenes - and they were the best and longest thus far, they just didn't feel as authentic as the action in all the precious films. In the three-hour runtime, there's maybe a 15-20 min story, the rest is overboard non-stop action that is mostly ridiculous - yes, still the best I've ever seen, and it will probably be a long time before that's topped, if ever, but so much of it with so little story, unbalanced the overall viewing experience. The current narrative barely constituted a two-hour film, let alone three hours. Nevertheless, still an amazing film, it's the writing that could've been better and more in abundance."
7,"And so the story of Wick continues. And it continues to be stylistically Tarantinoesque. Brutal fight scenes are highlighted by well-paired popular songs.

But the action---which centers around Wick's battle against the entire world of assassins, it seems-feels like a throwback to the ""Enter the Dragon"" days of Bruce Lee, with one man against impossible odds. And the Asian influence permeates most every scene, even when the action leaves Asia.

There is also what might be a reference to the blind swordsman. And one opponent is named Caine, which could be a reference to the hero from television's ""Kung Fu""

Though wick is forced to reduce his life to a series of deadly eliminations, he maintains scraps of his humanity, particularly when interacting with animals.

But make no mistake: this film regales in its stratospheric body count, however artful the executions."
2,"Loses 9. NINE YEARS OF MY LIFE.( or so it felt this way) What did I watch? Why did I watch? I know, I watched because I think Keanu is amazing and I really like the first one. So, I missed 2 and 3...I guess I missed the slow burnout of Wick. I could have reorganized my closet or cleaned out my cupboards, heck even pulling weeds in 103 degrees would have been better.

The photography and scenery were fantastic, that is the reason for the 2. I love the location of the last scene, but could have skipped the 1,353 dead bodies. I hope others do not make the same mistake. Enjoy your 3 hours somewhere else!"
10,"John Wick is definitely one of the best franchises in history - it was before this movie, but it's gotten even better after this one. The action pieces, the cinematography, the score, the costumes, the guns, the world, it's all there. I don't think I need to go into this review to explain why John Wick movies are good. What I want to explain is why this one is far and away the best one.

The other movies themselves were really good, but things held them back. I gave the first two an 8, for different reasons. The first John Wick was an excellent take on revenge films, but that also held it back by having to do what those movies did. There is less an emphasis on the assassin stuff and more on John Wick's life and people telling him not to get back in etc. It's not a big deal but the movie would much better focusing on other stuff. John Wick 2 did exactly that, but the overall story was just so non existent that I didn't particular care what John Wick was doing. John Wick 3 struck a good balance - i gave it a 9, it was great. The only downside to me was the ending, it just felt like the movie ended exactly where it started, and that the franchise was just going to keep going on and on.

John Wick 4 just outmatches them in every respect. For starters, this has the highest budget i believe, and you can tell. The locations are beautiful, and even small scenes are devoted to well constructed sets or real locations, and it gives the movie a visual intrigue that keeps the viewer engaged even when not that much is happening. And similar to the last movie, I love how we're just fully in this world now. Unlike a lot of these action movies where the movie wants to tell us it's in the real world or silly action world, John Wick sets itself solely in its own world, where people can get cars and shake it off.

And the action - wow. This is nearly a 3 hour movie which I thought is weird for an action movie... then you realise about 2 hours of that is straight action. The action is not paced evenly, it mainly comes out in chunks, there's three big ones which consist of all these different moments and bits, and also lead into other sets and characters. While that has the chance of not working and keeping a consistent pace, or just being mind numbing, in John Wick 4 the action is always varying itself up. I feel like John Wick spends 15 minutes in this glass light room but the movie keeps the camerawork and choreography varied that it feels as though it's not just repeating itself, and also that John has to think of new ways on the fly to get himself out of the fights in a way that is quick and fun. The amount of memorable parts is staggering, and it's what keeps this above the others in my mind. I remember scenes definitely, but i can't remember half an hour of just the most creative, fluid, thrilling action.

And yes, this is the last John Wick. I went into this movie not knowing that, but feeling as though it needed to happen. It really helps this movie, because there's this epic feeling this movie has because of it. Early on it begins to be apparent. Once the hotel blows up, you know that things are probably going to rap up. But how? I didn't know, which was also exciting. In a lot of these movies I know John Wick and the previous characters couldn't die, but here it's less apparent, and they do kill off people.

The thing that got me most in this movie is just how everything has been upgraded, and by that I mean the feel. The most memorable scene to me was the scene in the club after the card game. It's similar to a scene in John Wick 2, but these sorts of gun fights in clubs happen in every movie. What's different is both the scale, and how stylized it is. In John Wick 2 pretty early on everyone gets scared and runs away. Here it isn't until the moment when it's over do people really get scared, and it's almost surreal. Combine that with how the action, while it has rules that make it work, are probably physically inaccurate. I mean bullet proof protection is not that strong. And the amount of water coming out in that party. But it's not silly - the movie dedicates itself to this, and doesn't make jokes despite all the fun its having. That's what John Wick is. It's over the top, but grounded in its world so that you feel engaged in the spectacle. That's why this franchise is great, and it's all exemplified in this movie."
9,"Stunning installment. Beautifully crafted action sequences. The camerawork is impeccable. The fight choreography is fantastic. Keanu continues to own the John Wick role. Donnie Yen bringing all his skills to the table. This sequel just ramps up everything this franchise represents. A Clean, sleek, modern action flick. This film is a masterclass of peak cinema. The set pieces are on another level. Insert more praise. This is the one. Definitely recommend checking this out. The cinematography alone is worth a watch. Real locations. The set design. It's peak. It's everything you want out of a movie."
10,"Phenomenal. The action is as gritty and phenomenal as the past 3 films, there's still some of the campiness and unreleastic bits of action like 2 & 3 but the realism is still phenomenal, the story is much better than 2 & 3 it introduces 2 very interesting new characters and has such amazing world building added in that adds to the franchise and overall the story finally gives John wick actual reasons to fight once again. The movie is amazing I personally found some scenes dragged on a slight ammount but it's a very minor issue because of how good the story is and action, 10/10 movie 100% recommend watch all the John wick films."
8,"Hmmm. Difficult to sum up No 4 as clouded by the previous three which were superlative, is this really a modern western in disguise?. It has all the ingredients for conflict,redemption,revenge,resolution,however the new characters, with classic kung fu,versus the European heavies in tight shiny suits don't get you hating the bad guys, just another line of targets to clear.

The great thing about the previous productions is the viewer is invested in the main characters we're familiar with, and what happened to Wick's dog? Just a series of set pieces knitted together indoors and outside in different cities, there is no subtlety, knock 'em down ! Next !

There is a sequence where viewed from above third person view ,emulating a PC game, a satire on the gaming generation? Also some of the post release interviews there is a score card on how many times a stunt double had been killed.

The redeeming part of the film is Wick's backstory and origin family.

It is a long film two hours and forty minutes, probably better to stream and pause occasionally, to rest from violence overload."
7,"The main problem is that the sound design is excrement. They seem to think that 'moar bass, moar loud' is a shortcut to quality. It isn't. It's one of the most acoustically ugly experiences I've ever had.

The rest of the movie is fine. Appropriate acting, interesting sets, creative choreography and decent stuntwork. It has almost no story, relying heavily on pure action. Despite the hefty runtime, it manages to be a lot of fun - a solid entry in a franchise that has been consistently entertaining and consistently high-effort. Apparently this is the 'final' entry. Sure. Sure it is.

Just get a new sound editor next time."
10,"10/10. 100/100 Only a few films I can call Masterpieces, even my 10/10s or 5/5 stars, I don't typically depict as masterpieces, but this one definitely IS. In every aspect.

The gun-fu, choreography, fighting, stunts, and action in general. The acting, story was the best of the franchise, and the directing. The cinematography and overall feel of the film. And even other aspects that I would consider at least near masterpiece parts that make the whole, such as the score.

And watching with an audience made it even better. The reactions to the scenes and the visceral action sequences that took place, made them all the better. Laughing with an audience at perfectly timed comedic moments, and hearing some comments about what's happening on screen; something about a relaxed, chill, and engaging audience just ties a movie together in a nice little bow. The perfect experience one such as myself absolutely LOVES about going to the theater. And it reminds me of one of the main reasons why I go.

If you get the chance to watch this film at a theater, DO IT. Especially one with a decent amount of audience members. It's a damn good experience that one should NOT miss out on."
